inp	gt
སུར	སུར
རྟད	རྟད
ཆར	ཆར
རྒིལ	རྒིལ
མག	མག
ལུ	ལུ
རྫ	རྫ
ཡང	ཡང
ཛར	ཛར
ཀིན	ཀིན
བོག	བོག
རྗུན	རྗུན
འེས	འེས
འདོ	འདོ
སྤུ	སྤུ
ཡུའ	ཡུའ
བོམ	བོམ
གེད	གེད
ཧུས	ཧུས
ཕང	ཕང
ཅེ	ཅེ
ཁེག	ཁེག
ཛས	ཛས
རྩུག	རྩུག
རྨིད	རྨིད
སྩོ	སྩོ
སྨྱོ	སྨྱོ
ཁིང	ཁིང
མྱོ	མྱོ
ཆག	ཆག
རྟིར	རྟིར
ལྡེ	ལྡེ
ཏོག	ཏོག
རྨྱོ	རྨྱོ
རྩོད	རྩོད
ཁུའ	ཁུའ
རྣུག	རྣུག
ཏྲོ	ཏྲོ
ངེང	ངེང
ལྷམ	ལྷམ
ཛད	ཛད
རྨས	རྨས
དེད	དེད
རྩོབ	རྩོབ
ཆུས	ཆུས
ལྒིར	ལྒིར
འེའ	འེའ
བལ	བལ
ཚོར	ཚོར
ཧེར	ཧེར
འགེ	འགེ
ཛེར	ཛེར
བསྙོ	བསྙོ
ཕུད	ཕུད
བསྔོ	བསྔོ
ལྟམ	ལྟམ
རྩིལ	རྩིལ
བསྲུ	བསྲུ
རྒོ	རྒོ
ཁིས	ཁིས
མཉུ	མཉུ
བརྩི	བརྩི
དགྲ	དགྲ
ལུའ	ལུའ
གཉེ	གཉེ
ལྦབ	ལྦབ
འབ	འབ
ལྤིད	ལྤིད
རྟེའ	རྟེའ
ལྦུག	ལྦུག
རྔེག	རྔེག
ཚོམ	ཚོམ
ཀས	ཀས
ལྷིང	ལྷིང
རྟུན	རྟུན
རྩིད	རྩིད
ཁེལ	ཁེལ
ཙེང	ཙེང
དགྲེ	དགྲེ
སྣོ	སྣོ
བཤེ	བཤེ
ཧིལ	ཧིལ
ཀིག	ཀིག
ལྔེང	ལྔེང
ཚུ	ཚུ
ཛུད	ཛུད
རྙུའ	རྙུའ
ལྤིའ	ལྤིའ
ཅུམ	ཅུམ
འཕུ	འཕུ
འང	འང
བསྐི	བསྐི
ངའ	ངའ
ཏྲི	ཏྲི
གེན	གེན
ངོམ	ངོམ
ལྒུར	ལྒུར
རྩེད	རྩེད
རྨའ	རྨའ
བརྡོ	བརྡོ
ཡིད	ཡིད
ཕུན	ཕུན
བསྔ	བསྔ
ཙུའ	ཙུའ
རྡས	རྡས
ཤེན	ཤེན
ཐུབ	ཐུབ
བསྲོ	བསྲོ
རྔིག	རྔིག
ཡག	ཡག
རྡིབ	རྡིབ
བདེ	བདེ
ཛུའ	ཛུའ
ཐོར	ཐོར
ཟུ	ཟུ
པྱུ	པྱུ
མཛོ	མཛོ
ལྗད	ལྗད
ཏང	ཏང
ཐྲེ	ཐྲེ
རོག	རོག
གུང	གུང
ཞིག	ཞིག
མིའ	མིའ
རྟིད	རྟིད
བཏ	བཏ
བལྡ	བལྡ
ལྷང	ལྷང
རྩིང	རྩིང
བསྐྱེ	བསྐྱེ
དཔྲི	དཔྲི
ཤོད	ཤོད
ངེས	ངེས
འཚོ	འཚོ
གན	གན
པེག	པེག
འཇོ	འཇོ
ཙེམ	ཙེམ
རྩེན	རྩེན
རྒོའ	རྒོའ
འཐོ	འཐོ
ཤམ	ཤམ
ཨབ	ཨབ
གཤོ	གཤོ
ལྟབ	ལྟབ
དཔྲོ	དཔྲོ
ཏེག	ཏེག
རྔེའ	རྔེའ
དིས	དིས
དམྲི	དམྲི
རྙེང	རྙེང
རྦིད	རྦིད
མེག	མེག
ཧའ	ཧའ
པིན	པིན
ཕན	ཕན
ཛུབ	ཛུབ
རྙོད	རྙོད
འགི	འགི
མཐོ	མཐོ
རྫིའ	རྫིའ
ཚེམ	ཚེམ
ཁོན	ཁོན
ཨོས	ཨོས
རྦེས	རྦེས
ལྷི	ལྷི
བསྒྱ	བསྒྱ
བག	བག
འགྱེ	འགྱེ
ཇུའ	ཇུའ
རྗོག	རྗོག
ཀུས	ཀུས
རྫུབ	རྫུབ
ཛེ	ཛེ
ཉིའ	ཉིའ
ལྐེག	ལྐེག
ཚུམ	ཚུམ
རྐོད	རྐོད
ཅས	ཅས
ཧོལ	ཧོལ
ཀྲི	ཀྲི
ཐེའ	ཐེའ
བཀློ	བཀློ
རྔིམ	རྔིམ
འཛུ	འཛུ
ཉོབ	ཉོབ
ཨོལ	ཨོལ
ཝང	ཝང
ཀླེ	ཀླེ
སྔེ	སྔེ
འཕྲུ	འཕྲུ
རྨང	རྨང
ཅེམ	ཅེམ
ཟག	ཟག
ཙིལ	ཙིལ
འན	འན
འབྲོ	འབྲོ
རྫེ	རྫེ
ཡེམ	ཡེམ
རྫར	རྫར
ལྤག	ལྤག
ཉུབ	ཉུབ
སྤེ	སྤེ
ཆེམ	ཆེམ
ཕེན	ཕེན
བསྩི	བསྩི
རྦོབ	རྦོབ
ཤབ	ཤབ
ཕིར	ཕིར
ཆད	ཆད
ངུལ	ངུལ
འགུ	འགུ
རྔག	རྔག
ཤུག	ཤུག
བསྐྲེ	བསྐྲེ
མིལ	མིལ
མཛེ	མཛེ
ཐིའ	ཐིའ
ཉེག	ཉེག
ཕིག	ཕིག
སོད	སོད
དའ	དའ
རྙིར	རྙིར
ཧོ	ཧོ
ཛུན	ཛུན
རྒད	རྒད
ལྟིལ	ལྟིལ
རྦ	རྦ
ཟྭ	ཟྭ
ཆེའ	ཆེའ
མཁོ	མཁོ
ཞེན	ཞེན
ལྦོ	ལྦོ
རྡེ	རྡེ
ལྡེག	ལྡེག
ཨོ	ཨོ
བཏུ	བཏུ
ཨན	ཨན
རུམ	རུམ
རྨེར	རྨེར
ཙིད	ཙིད
པིབ	པིབ
འིན	འིན
བསྐོ	བསྐོ
དགྱི	དགྱི
རྐེ	རྐེ
རྔོའ	རྔོའ
དཔྱ	དཔྱ
ཉེམ	ཉེམ
རྒོག	རྒོག
རྙུས	རྙུས
ཏིག	ཏིག
མཚི	མཚི
གདི	གདི
གོད	གོད
ཚིག	ཚིག
བརྗོ	བརྗོ
སོང	སོང
ཐུས	ཐུས
རྣེད	རྣེད
སྒྱེ	སྒྱེ
ཆིས	ཆིས
ཝེན	ཝེན
བཀྲོ	བཀྲོ
རྦིར	རྦིར
བསྒྲུ	བསྒྲུ
རྐེས	རྐེས
ཙོལ	ཙོལ
ལྗི	ལྗི
བུའ	བུའ
ལྟིག	ལྟིག
ཤི	ཤི
མདེ	མདེ
ཤིད	ཤིད
ཨིན	ཨིན
ཆས	ཆས
རྦིང	རྦིང
བཟླུ	བཟླུ
ཁན	ཁན
དཀྲོ	དཀྲོ
ཀིར	ཀིར
རྨིག	རྨིག
ལྤུད	ལྤུད
རྔེན	རྔེན
དཔུ	དཔུ
ཉུའ	ཉུའ
སྔུ	སྔུ
ཙར	ཙར
སྤྲུ	སྤྲུ
ལར	ལར
ལྒིང	ལྒིང
ལྤེག	ལྤེག
ལྡིབ	ལྡིབ
རྦོ	རྦོ
གཤི	གཤི
ཡམ	ཡམ
དགྱོ	དགྱོ
ཡེབ	ཡེབ
དོང	དོང
ཁིག	ཁིག
བགེ	བགེ
སིབ	སིབ
སྙ	སྙ
དབྱི	དབྱི
བིད	བིད
སྒྱི	སྒྱི
འབྲུ	འབྲུ
འས	འས
ལྡོ	ལྡོ
ཉེད	ཉེད
ཉབ	ཉབ
སྩ	སྩ
རྩིག	རྩིག
ཛུག	ཛུག
འེལ	འེལ
ཡའ	ཡའ
ཞོལ	ཞོལ
གཟེ	གཟེ
བུད	བུད
རྐུབ	རྐུབ
ཙོད	ཙོད
བཙི	བཙི
ངག	ངག
གཉུ	གཉུ
ཀྱ	ཀྱ
ཙོར	ཙོར
ལོང	ལོང
ལྡི	ལྡི
རྟམ	རྟམ
ལྷེག	ལྷེག
ལྔེབ	ལྔེབ
བསྒྲོ	བསྒྲོ
ལྔར	ལྔར
ཝེས	ཝེས
རྐེལ	རྐེལ
འཁྲི	འཁྲི
སིན	སིན
བལྟུ	བལྟུ
ནེལ	ནེལ
རྫེམ	རྫེམ
རྩིབ	རྩིབ
ཇོང	ཇོང
བརྡ	བརྡ
སྲུ	སྲུ
རྐུན	རྐུན
རྣའ	རྣའ
ལྡེམ	ལྡེམ
རྫལ	རྫལ
གཡ	གཡ
ལེའ	ལེའ
ལྡམ	ལྡམ
རྔོ	རྔོ
རེག	རེག
ལྤེད	ལྤེད
རྒུག	རྒུག
རུག	རུག
མནོ	མནོ
གེ	གེ
རྗུད	རྗུད
ལྤི	ལྤི
ངོའ	ངོའ
ལྡིང	ལྡིང
རྒྱུ	རྒྱུ
བསྒི	བསྒི
ཅུའ	ཅུའ
མཁྲུ	མཁྲུ
རྟར	རྟར
ལྔུས	ལྔུས
ཁྲུ	ཁྲུ
ལྦུལ	ལྦུལ
ལག	ལག
བུན	བུན
གཉི	གཉི
བཀྲི	བཀྲི
ཝས	ཝས
ཅེག	ཅེག
པང	པང
དེང	དེང
ལྷིའ	ལྷིའ
རྔིའ	རྔིའ
ཟིམ	ཟིམ
ཏས	ཏས
ཨེའ	ཨེའ
བརྗེ	བརྗེ
ཀི	ཀི
ལྟེབ	ལྟེབ
ཀེང	ཀེང
བསྙེ	བསྙེ
ཙིན	ཙིན
བསྒྲ	བསྒྲ
ཞེད	ཞེད
རྙིམ	རྙིམ
འབྱོ	འབྱོ
གུམ	གུམ
ལྤེའ	ལྤེའ
རྣོམ	རྣོམ
རྗུའ	རྗུའ
ཛིའ	ཛིའ
ལྔེའ	ལྔེའ
ཝོར	ཝོར
རྡུག	རྡུག
སྒ	སྒ
གཉོ	གཉོ
སྐུ	སྐུ
བང	བང
བལྟ	བལྟ
ཤག	ཤག
སན	སན
རླེ	རླེ
ཐི	ཐི
ཟོག	ཟོག
ཤེག	ཤེག
ཉོའ	ཉོའ
རྐེའ	རྐེའ
ཕུ	ཕུ
རྔིང	རྔིང
དགྲི	དགྲི
བརྐི	བརྐི
སྲི	སྲི
རྫོའ	རྫོའ
རྣེའ	རྣེའ
རྫམ	རྫམ
གཡེ	གཡེ
ཀན	ཀན
ནིར	ནིར
རྫི	རྫི
འིབ	འིབ
ངིང	ངིང
རྩོའ	རྩོའ
རྦང	རྦང
རྒིས	རྒིས
ཨུབ	ཨུབ
རྗོའ	རྗོའ
ལྦིད	ལྦིད
ཀྲུ	ཀྲུ
མད	མད
ལྟར	ལྟར
ཕིལ	ཕིལ
རྫུའ	རྫུའ
ཡོད	ཡོད
དངི	དངི
ཙུམ	ཙུམ
ལྒིལ	ལྒིལ
ཡེ	ཡེ
པིམ	པིམ
རྙིས	རྙིས
ལྐ	ལྐ
ཁོབ	ཁོབ
ལྐུང	ལྐུང
རྗུར	རྗུར
རྗོད	རྗོད
ཁི	ཁི
མངེ	མངེ
ཛོམ	ཛོམ
རྡེབ	རྡེབ
ཆོབ	ཆོབ
མུ	མུ
ལྕུའ	ལྕུའ
ཁྱི	ཁྱི
ཟའ	ཟའ
ལི	ལི
ཡད	ཡད
ཐུམ	ཐུམ
ལྕལ	ལྕལ
ལྷུལ	ལྷུལ
མཚོ	མཚོ
ཐོ	ཐོ
ཙུར	ཙུར
བཀྲེ	བཀྲེ
ལྒན	ལྒན
རྗེ	རྗེ
རྡུབ	རྡུབ
ལྕུབ	ལྕུབ
རྗའ	རྗའ
དཔི	དཔི
ཨིང	ཨིང
བསྣེ	བསྣེ
བགྱ	བགྱ
ལྐལ	ལྐལ
རྟའ	རྟའ
ཇོའ	ཇོའ
རྒིམ	རྒིམ
ལྤེབ	ལྤེབ
ལྟུན	ལྟུན
རྙུར	རྙུར
ལུལ	ལུལ
ཚེལ	ཚེལ
རྦན	རྦན
ཆུམ	ཆུམ
ཝར	ཝར
ཧུང	ཧུང
དུན	དུན
ལྤུག	ལྤུག
བསྣུ	བསྣུ
དབེ	དབེ
དཔྲུ	དཔྲུ
ཟིལ	ཟིལ
རྔན	རྔན
རྨུབ	རྨུབ
ལྟི	ལྟི
དིང	དིང
མཆི	མཆི
ཏོར	ཏོར
ལྦས	ལྦས
འཐ	འཐ
སྐི	སྐི
རྒྱི	རྒྱི
ཡི	ཡི
ཤེབ	ཤེབ
རྒི	རྒི
པེར	པེར
དོའ	དོའ
རྩེབ	རྩེབ
ཐོས	ཐོས
རྩོམ	རྩོམ
རྒུའ	རྒུའ
ཆེལ	ཆེལ
རྦོལ	རྦོལ
འག	འག
བསྩེ	བསྩེ
རྦེམ	རྦེམ
རྦད	རྦད
པིའ	པིའ
ཅོམ	ཅོམ
ཅལ	ཅལ
རྙད	རྙད
ཝེད	ཝེད
ལྦན	ལྦན
ནད	ནད
རྒ	རྒ
རྐལ	རྐལ
ཛོག	ཛོག
འུལ	འུལ
རྐོ	རྐོ
སྡོ	སྡོ
ལྤེང	ལྤེང
རྡོ	རྡོ
རྗབ	རྗབ
བརྣོ	བརྣོ
ཟད	ཟད
རྫེལ	རྫེལ
སུང	སུང
པྲི	པྲི
ལྡུ	ལྡུ
ཅུབ	ཅུབ
ལྤལ	ལྤལ
འཕྱ	འཕྱ
ཤོལ	ཤོལ
ཅན	ཅན
ཉལ	ཉལ
ཙུན	ཙུན
རས	རས
ཁའ	ཁའ
གཞུ	གཞུ
ངར	ངར
ཟན	ཟན
རྦུན	རྦུན
རྨོད	རྨོད
ཁོག	ཁོག
བཤ	བཤ
རྦིའ	རྦིའ
མགྲུ	མགྲུ
ལྐིབ	ལྐིབ
ཞུལ	ཞུལ
མནེ	མནེ
བརྣུ	བརྣུ
ཛོའ	ཛོའ
ཡེད	ཡེད
ཧག	ཧག
ལྒབ	ལྒབ
གིན	གིན
ལྤུར	ལྤུར
བདོ	བདོ
ཏིའ	ཏིའ
ལྡུམ	ལྡུམ
རྣེན	རྣེན
ལྔེན	ལྔེན
ལྤུབ	ལྤུབ
ཡུག	ཡུག
ཛབ	ཛབ
ཟུད	ཟུད
རྫིན	རྫིན
འདུ	འདུ
རྐིག	རྐིག
འབྱི	འབྱི
འེབ	འེབ
ཟེབ	ཟེབ
ཆུར	ཆུར
བསྙུ	བསྙུ
བར	བར
རྔུག	རྔུག
ལྤིབ	ལྤིབ
སྟེ	སྟེ
ཚིལ	ཚིལ
རྩ	རྩ
དགྱེ	དགྱེ
བིང	བིང
ངེའ	ངེའ
ཉུར	ཉུར
ཚས	ཚས
ཕོད	ཕོད
འགྲུ	འགྲུ
ལྟང	ལྟང
ཇིག	ཇིག
ལོ	ལོ
རྡོས	རྡོས
ཙན	ཙན
རྐོམ	རྐོམ
དཔེ	དཔེ
ཅིས	ཅིས
ཚོང	ཚོང
སྨྱུ	སྨྱུ
ཡུང	ཡུང
ཚོབ	ཚོབ
ངུབ	ངུབ
ཧྲུ	ཧྲུ
ཞག	ཞག
རྔིན	རྔིན
ཀུན	ཀུན
མས	མས
ཚེབ	ཚེབ
རྣིང	རྣིང
ཤར	ཤར
བརླི	བརླི
རྐེག	རྐེག
བུར	བུར
གཉ	གཉ
འཕྱོ	འཕྱོ
ཐེམ	ཐེམ
ཤང	ཤང
སྒྲེ	སྒྲེ
རྣིན	རྣིན
ཝེམ	ཝེམ
ཞོམ	ཞོམ
ལྦའ	ལྦའ
འཕ	འཕ
རྨིལ	རྨིལ
རྟོར	རྟོར
བཟི	བཟི
གཅི	གཅི
ཉོས	ཉོས
སོམ	སོམ
ལྒེད	ལྒེད
ལྕང	ལྕང
རྨེག	རྨེག
བརྒོ	བརྒོ
ཚེ	ཚེ
གོ	གོ
མེང	མེང
ལྗ	ལྗ
ལྐིང	ལྐིང
གསོ	གསོ
ཨེར	ཨེར
ཕྱ	ཕྱ
རྣེལ	རྣེལ
བུས	བུས
ཝོབ	ཝོབ
ཨི	ཨི
དུར	དུར
ཁེ	ཁེ
སླ	སླ
དབ	དབ
པྱོ	པྱོ
ཆོ	ཆོ
ཝིང	ཝིང
ངོང	ངོང
འགྱི	འགྱི
བགྲ	བགྲ
ལྷིས	ལྷིས
ནལ	ནལ
ཞེས	ཞེས
འེན	འེན
ཞེའ	ཞེའ
ཟིས	ཟིས
སའ	སའ
ཏིལ	ཏིལ
ཀྲེ	ཀྲེ
ཅུང	ཅུང
རྨུའ	རྨུའ
ལྒིས	ལྒིས
དིལ	དིལ
ཁེང	ཁེང
རྣུང	རྣུང
བསྲ	བསྲ
ཤོས	ཤོས
ཏར	ཏར
བསྡི	བསྡི
ལིས	ལིས
གམ	གམ
བཏོ	བཏོ
ཙིམ	ཙིམ
ལྡིན	ལྡིན
ཚེར	ཚེར
ཝལ	ཝལ
ཐོག	ཐོག
ལྗིག	ལྗིག
བརྩུ	བརྩུ
རྦེར	རྦེར
ཝེར	ཝེར
ངེད	ངེད
ལལ	ལལ
མུས	མུས
སྐྱི	སྐྱི
ཐོན	ཐོན
སུག	སུག
ཇིལ	ཇིལ
མཐེ	མཐེ
རྐད	རྐད
ཉེང	ཉེང
ལྗིམ	ལྗིམ
རྒར	རྒར
པེའ	པེའ
འཛེ	འཛེ
ལྒེའ	ལྒེའ
ཚད	ཚད
ཆིག	ཆིག
བརྒྱོ	བརྒྱོ
ཀྱོ	ཀྱོ
པྱེ	པྱེ
ཆབ	ཆབ
བེལ	བེལ
མངི	མངི
དས	དས
ཅུན	ཅུན
ལྤེན	ལྤེན
རྗིབ	རྗིབ
རྒྱོ	རྒྱོ
རྗང	རྗང
རྦི	རྦི
རྙག	རྙག
བརྙ	བརྙ
རིའ	རིའ
ལྤིས	ལྤིས
རྩོང	རྩོང
ཏིམ	ཏིམ
རྙེན	རྙེན
བཞོ	བཞོ
ཝིར	ཝིར
རྐུ	རྐུ
ཆིར	ཆིར
ཛོབ	ཛོབ
ཨའ	ཨའ
ཟུན	ཟུན
རྗིར	རྗིར
མགེ	མགེ
ཆོའ	ཆོའ
རྙོལ	རྙོལ
སུབ	སུབ
འཇུ	འཇུ
ཤུན	ཤུན
ལྕེའ	ལྕེའ
ཙག	ཙག
གིར	གིར
ཇོག	ཇོག
སླེ	སླེ
སྣྲུ	སྣྲུ
ཇེ	ཇེ
རྫུག	རྫུག
ཚོད	ཚོད
ཧིར	ཧིར
ཛུང	ཛུང
སྤྲི	སྤྲི
དྲུ	དྲུ
ཛིང	ཛིང
རྟོག	རྟོག
སྔོ	སྔོ
ཅིང	ཅིང
ལོར	ལོར
བེམ	བེམ
རྙོན	རྙོན
ལྟེམ	ལྟེམ
ཚེག	ཚེག
པུང	པུང
ཤུམ	ཤུམ
ལྕོ	ལྕོ
ཟེས	ཟེས
ཧུད	ཧུད
བྲ	བྲ
འགྲ	འགྲ
ཐས	ཐས
རྗོལ	རྗོལ
བགི	བགི
ལྷུན	ལྷུན
དེའ	དེའ
རྒོས	རྒོས
བགྱོ	བགྱོ
རྟས	རྟས
ཞུག	ཞུག
ལོན	ལོན
བརྒྱི	བརྒྱི
པུའ	པུའ
གའ	གའ
ཐབ	ཐབ
རྡན	རྡན
ལྕུ	ལྕུ
རྔའ	རྔའ
ཟླི	ཟླི
རྒས	རྒས
བརློ	བརློ
ཧྲེ	ཧྲེ
རློ	རློ
རྒོན	རྒོན
སེལ	སེལ
ཟླ	ཟླ
ཝུལ	ཝུལ
རྐིམ	རྐིམ
འུ	འུ
ཞད	ཞད
སྣྲ	སྣྲ
ལྐུད	ལྐུད
རྣུས	རྣུས
ལོས	ལོས
ནབ	ནབ
ཉང	ཉང
བསྒྱེ	བསྒྱེ
བཞུ	བཞུ
ལྔིབ	ལྔིབ
ནོར	ནོར
ལྤིར	ལྤིར
འགྱོ	འགྱོ
ཀོམ	ཀོམ
བསྒྲེ	བསྒྲེ
ཀང	ཀང
ལྗུར	ལྗུར
རྒྱེ	རྒྱེ
དིབ	དིབ
པིག	པིག
རྗུག	རྗུག
རྣོར	རྣོར
ཉོན	ཉོན
ལྟིང	ལྟིང
འཇི	འཇི
བེན	བེན
ཏུལ	ཏུལ
ཅི	ཅི
དགོ	དགོ
རྟིག	རྟིག
འཁི	འཁི
ཁིལ	ཁིལ
ཚུབ	ཚུབ
པམ	པམ
ཉོ	ཉོ
ཟོང	ཟོང
རྟིན	རྟིན
གནེ	གནེ
སྐྲོ	སྐྲོ
འདེ	འདེ
ལྦུར	ལྦུར
པུད	པུད
ཡུར	ཡུར
རྩོལ	རྩོལ
ཞུམ	ཞུམ
ལྷུམ	ལྷུམ
ཏེས	ཏེས
བཤོ	བཤོ
ཤུད	ཤུད
བསྔེ	བསྔེ
གཞོ	གཞོ
གཏུ	གཏུ
ལྐེབ	ལྐེབ
རྦུང	རྦུང
ལྐིམ	ལྐིམ
རྙུ	རྙུ
སྨྲེ	སྨྲེ
ཁུད	ཁུད
ལྒུད	ལྒུད
སྦོ	སྦོ
ཏུས	ཏུས
ཇེའ	ཇེའ
པབ	པབ
ལྷིད	ལྷིད
སོན	སོན
འིའ	འིའ
འགྱུ	འགྱུ
རྙོ	རྙོ
བཙེ	བཙེ
ནེང	ནེང
ཛེག	ཛེག
ཇོབ	ཇོབ
ཉིམ	ཉིམ
མལ	མལ
རྡ	རྡ
ཅོ	ཅོ
ནི	ནི
བརྗ	བརྗ
ལེན	ལེན
བརྟ	བརྟ
ལྤིན	ལྤིན
སྤ	སྤ
ལྷིམ	ལྷིམ
ལྦུང	ལྦུང
དམྱི	དམྱི
ལྡ	ལྡ
ཆོས	ཆོས
བརྟི	བརྟི
ཤིབ	ཤིབ
བེད	བེད
སུན	སུན
གྲུ	གྲུ
ཐམ	ཐམ
མཆུ	མཆུ
སྤྱ	སྤྱ
ཛིམ	ཛིམ
ཁམ	ཁམ
བཀྱེ	བཀྱེ
རྐོའ	རྐོའ
མོར	མོར
ལྤིམ	ལྤིམ
རྨོས	རྨོས
ལྐིད	ལྐིད
མུག	མུག
ལྡུས	ལྡུས
རྩར	རྩར
རྒེན	རྒེན
ཤུང	ཤུང
ཧུན	ཧུན
ངིལ	ངིལ
རྙིའ	རྙིའ
རྔལ	རྔལ
ཙད	ཙད
ཉའ	ཉའ
སོབ	སོབ
རྡེག	རྡེག
རྗོས	རྗོས
ཅེབ	ཅེབ
ལྟེ	ལྟེ
ཀེད	ཀེད
འཚི	འཚི
ཞུབ	ཞུབ
ཕར	ཕར
རྩེག	རྩེག
ཐིན	ཐིན
རྟོམ	རྟོམ
ངོ	ངོ
རྙོབ	རྙོབ
རྟེན	རྟེན
རྣམ	རྣམ
ཧྲི	ཧྲི
ལྒིག	ལྒིག
ཞས	ཞས
ལྷེད	ལྷེད
སྤི	སྤི
ལེ	ལེ
པོན	པོན
ལྔ	ལྔ
རྗོར	རྗོར
ངད	ངད
རྙུག	རྙུག
བསྐྲ	བསྐྲ
རྦུབ	རྦུབ
འཁྲོ	འཁྲོ
པོབ	པོབ
རྗེག	རྗེག
རྒེབ	རྒེབ
ཞིབ	ཞིབ
རྡུན	རྡུན
ངམ	ངམ
ཞེམ	ཞེམ
ལྐུབ	ལྐུབ
རྔོབ	རྔོབ
མེལ	མེལ
ཛམ	ཛམ
ཧིན	ཧིན
ཛལ	ཛལ
མུན	མུན
ཅུལ	ཅུལ
ཏེའ	ཏེའ
ལྔུ	ལྔུ
ཤོན	ཤོན
རྙོར	རྙོར
རྫེག	རྫེག
བཟེ	བཟེ
ཇུག	ཇུག
ལྔད	ལྔད
ཉས	ཉས
རྔིལ	རྔིལ
འོག	འོག
ལྕུར	ལྕུར
ཆིའ	ཆིའ
རྨིས	རྨིས
ཟུག	ཟུག
འཛི	འཛི
མཁུ	མཁུ
ཨེ	ཨེ
པག	པག
ནོལ	ནོལ
ལྗར	ལྗར
སོག	སོག
རྐོབ	རྐོབ
པར	པར
ནོ	ནོ
རྣོས	རྣོས
བསློ	བསློ
རྒིབ	རྒིབ
ལྐིལ	ལྐིལ
ཟོལ	ཟོལ
རྡེས	རྡེས
ལབ	ལབ
རྟག	རྟག
མིན	མིན
ཉད	ཉད
ཧལ	ཧལ
བགོ	བགོ
ཐོལ	ཐོལ
ཨོམ	ཨོམ
རྐིལ	རྐིལ
ཉིབ	ཉིབ
རྗིང	རྗིང
བལྟེ	བལྟེ
ཉོར	ཉོར
ལྔུད	ལྔུད
རྦོར	རྦོར
རྗེན	རྗེན
གཅུ	གཅུ
བྱུ	བྱུ
རྙེམ	རྙེམ
ཆུ	ཆུ
ཝོ	ཝོ
ཉེབ	ཉེབ
ཇིད	ཇིད
ངོལ	ངོལ
ཀལ	ཀལ
བསྐུ	བསྐུ
རྙའ	རྙའ
ཡེང	ཡེང
ཐེད	ཐེད
ཏབ	ཏབ
རྔུམ	རྔུམ
ཏིར	ཏིར
རྨུག	རྨུག
མཁི	མཁི
ཙི	ཙི
གཤེ	གཤེ
ཀར	ཀར
