inp	gt
"3157	ལྤད"	"3157	ལྤད"
"2378	གེལ"	"2378	གེལ"
"2991	རྡེལ"	"2991	རྡེལ"
"1570	ཅོང"	"1570	ཅོང"
"2567	རྫག"	"2567	རྫག"
"2634	རྨས"	"2634	རྨས"
"1555	ཝེང"	"1555	ཝེང"
"3367	ལྟུན"	"3367	ལྟུན"
"2594	རྔན"	"2594	རྔན"
"3090	རྦོའ"	"3090	རྦོའ"
"2204	ཏིར"	"2204	ཏིར"
"361	རྐུ"	"361	རྐུ"
"1208	གམ"	"1208	གམ"
"824	འཛོ"	"824	འཛོ"
"2734	རྒིལ"	"2734	རྒིལ"
"1565	ཨེང"	"1565	ཨེང"
"1180	ཅབ"	"1180	ཅབ"
"1333	ཉས"	"1333	ཉས"
"1792	ཙེན"	"1792	ཙེན"
"838	དབྱུ"	"838	དབྱུ"
"49	ལྤ"	"49	ལྤ"
"2817	རྐུབ"	"2817	རྐུབ"
"3236	ལྗིག"	"3236	ལྗིག"
"562	རླུ"	"562	རླུ"
"2787	རྡུང"	"2787	རྡུང"
"2455	ཝིས"	"2455	ཝིས"
"435	ལྦོ"	"435	ལྦོ"
"3320	ལྦིལ"	"3320	ལྦིལ"
"1486	དིང"	"1486	དིང"
"1381	ལིག"	"1381	ལིག"
"2236	དུར"	"2236	དུར"
"1080	ཡག"	"1080	ཡག"
"2371	ལུལ"	"2371	ལུལ"
"1548	པེང"	"1548	པེང"
"1807	ཁོན"	"1807	ཁོན"
"264	ཆུ"	"264	ཆུ"
"732	བགོ"	"732	བགོ"
"2776	རྣུང"	"2776	རྣུང"
"1894	ཧུབ"	"1894	ཧུབ"
"2985	རྐེལ"	"2985	རྐེལ"
"2929	རྙེན"	"2929	རྙེན"
"1037	འཕྲུ"	"1037	འཕྲུ"
"2657	རྦིང"	"2657	རྦིང"
"1465	ཝོག"	"1465	ཝོག"
"120	གཟ"	"120	གཟ"
"1094	ཉང"	"1094	ཉང"
"2777	རྦུང"	"2777	རྦུང"
"3431	ལྷུས"	"3431	ལྷུས"
"4	ཅ"	"4	ཅ"
"902	བརྣོ"	"902	བརྣོ"
"469	སྐོ"	"469	སྐོ"
"958	བསྲུ"	"958	བསྲུ"
"1252	ཙའ"	"1252	ཙའ"
"670	གནོ"	"670	གནོ"
"2966	རྟེའ"	"2966	རྟེའ"
"3258	ལྡིད"	"3258	ལྡིད"
"1591	ལོང"	"1591	ལོང"
"923	བསྔུ"	"923	བསྔུ"
"3115	རྨོལ"	"3115	རྨོལ"
"3314	ལྔིལ"	"3314	ལྔིལ"
"3399	ལྤུའ"	"3399	ལྤུའ"
"2305	ཝོར"	"2305	ཝོར"
"1058	ཁག"	"1058	ཁག"
"216	མགྱ"	"216	མགྱ"
"1132	མད"	"1132	མད"
"3023	རྔོང"	"3023	རྔོང"
"988	བརྒྱུ"	"988	བརྒྱུ"
"1053	འགྲོ"	"1053	འགྲོ"
"2848	རྣུའ"	"2848	རྣུའ"
"278	ཝུ"	"278	ཝུ"
"411	ལྗུ"	"411	ལྗུ"
"378	རྟེ"	"378	རྟེ"
"582	རྐྱེ"	"582	རྐྱེ"
"3427	ལྟུས"	"3427	ལྟུས"
"1364	ཏིག"	"1364	ཏིག"
"2586	རྡད"	"2586	རྡད"
"2515	ཝེས"	"2515	ཝེས"
"1491	མིང"	"1491	མིང"
"2684	རྫིན"	"2684	རྫིན"
"1098	ནང"	"1098	ནང"
"2659	རྩིང"	"2659	རྩིང"
"604	སྒྱོ"	"604	སྒྱོ"
"543	གྲོ"	"543	གྲོ"
"38	རྦ"	"38	རྦ"
"229	ཀི"	"229	ཀི"
"3327	ལྟིས"	"3327	ལྟིས"
"2686	རྒིབ"	"2686	རྒིབ"
"46	ལྗ"	"46	ལྗ"
"1373	ཚིག"	"1373	ཚིག"
"236	ཉི"	"236	ཉི"
"1128	ནད"	"1128	ནད"
"2280	རེར"	"2280	རེར"
"3471	ལྷེན"	"3471	ལྷེན"
"1188	པབ"	"1188	པབ"
"1376	ཞིག"	"1376	ཞིག"
"2185	ཝོའ"	"2185	ཝོའ"
"949	བཀྱེ"	"949	བཀྱེ"
"815	འཁོ"	"815	འཁོ"
"400	ལྕི"	"400	ལྕི"
"106	སྨྱ"	"106	སྨྱ"
"1224	ཛམ"	"1224	ཛམ"
"1553	ཚེང"	"1553	ཚེང"
"1510	ཅུང"	"1510	ཅུང"
"3122	རྙོས"	"3122	རྙོས"
"123	གས"	"123	གས"
"630	སྣྲུ"	"630	སྣྲུ"
"523	ཐྲུ"	"523	ཐྲུ"
"243	བི"	"243	བི"
"1050	འཕྱོ"	"1050	འཕྱོ"
"3226	ལྗས"	"3226	ལྗས"
"1809	ངོན"	"1809	ངོན"
"513	དྲི"	"513	དྲི"
"1783	ཉེན"	"1783	ཉེན"
"3101	རྣོར"	"3101	རྣོར"
"2987	རྔེལ"	"2987	རྔེལ"
"3085	རྗོའ"	"3085	རྗོའ"
"549	བྲོ"	"549	བྲོ"
"1468	འོག"	"1468	འོག"
"997	བསྐྲེ"	"997	བསྐྲེ"
"363	རྔུ"	"363	རྔུ"
"344	ལོ"	"344	ལོ"
"324	ཆོ"	"324	ཆོ"
"2541	མོས"	"2541	མོས"
"2442	ཇིས"	"2442	ཇིས"
"1822	ཙོན"	"1822	ཙོན"
"501	ཀྱོ"	"501	ཀྱོ"
"667	གཉོ"	"667	གཉོ"
"1758	པུན"	"1758	པུན"
"1734	ཛིན"	"1734	ཛིན"
"2287	ཁོར"	"2287	ཁོར"
"3200	ལྦའ"	"3200	ལྦའ"
"1507	ཁུང"	"1507	ཁུང"
"535	དྲེ"	"535	དྲེ"
"1418	གེག"	"1418	གེག"
"1029	འབྲི"	"1029	འབྲི"
"2134	སུའ"	"2134	སུའ"
"2853	རྐུར"	"2853	རྐུར"
"3411	ལྷུར"	"3411	ལྷུར"
"2842	རྒུའ"	"2842	རྒུའ"
"2192	ཤོའ"	"2192	ཤོའ"
"3235	ལྕིག"	"3235	ལྕིག"
"1068	ནག"	"1068	ནག"
"2995	ཐོར"	"2995	ཐོར"
"3450	ལྦེང"	"3450	ལྦེང"
"835	དཀྱུ"	"835	དཀྱུ"
"1907	ནེབ"	"1907	ནེབ"
"2571	རྗང"	"2571	རྗང"
"2582	རྔད"	"2582	རྔད"
"711	བཀུ"	"711	བཀུ"
"3022	རྒོང"	"3022	རྒོང"
"2936	རྫེན"	"2936	རྫེན"
"872	བརྣི"	"872	བརྣི"
"2691	རྡིབ"	"2691	རྡིབ"
"2362	ཙུལ"	"2362	ཙུལ"
"1981	ལིམ"	"1981	ལིམ"
"2562	རྡག"	"2562	རྡག"
"804	འཛུ"	"804	འཛུ"
"3319	ལྤིལ"	"3319	ལྤིལ"
"1886	ཞུབ"	"1886	ཞུབ"
"929	བསྐེ"	"929	བསྐེ"
"1924	ཧེབ"	"1924	ཧེབ"
"829	དམྱི"	"829	དམྱི"
"1752	ཇུན"	"1752	ཇུན"
"2403	སེལ"	"2403	སེལ"
"649	གཙུ"	"649	གཙུ"
"1578	པོང"	"1578	པོང"
"1803	སེན"	"1803	སེན"
"3441	ལྷེག"	"3441	ལྷེག"
"3414	ལྔུལ"	"3414	ལྔུལ"
"3264	ལྔིན"	"3264	ལྔིན"
"3130	ལྐག"	"3130	ལྐག"
"474	སྡོ"	"474	སྡོ"
"3284	ལྔིམ"	"3284	ལྔིམ"
"63	ཀྱ"	"63	ཀྱ"
"3205	ལྕར"	"3205	ལྕར"
"817	འཆོ"	"817	འཆོ"
"2001	མུམ"	"2001	མུམ"
"2656	རྣིང"	"2656	རྣིང"
"1941	མོབ"	"1941	མོབ"
"3208	ལྡར"	"3208	ལྡར"
"790	འདི"	"790	འདི"
"2913	རྐེད"	"2913	རྐེད"
"2591	རྫད"	"2591	རྫད"
"1361	ཆིག"	"1361	ཆིག"
"1832	ཤོན"	"1832	ཤོན"
"2666	རྟིད"	"2666	རྟིད"
"1566	ཀོང"	"1566	ཀོང"
"2005	ཝུམ"	"2005	ཝུམ"
"3037	རྙོད"	"3037	རྙོད"
"2066	ཞོམ"	"2066	ཞོམ"
"3027	རྡོང"	"3027	རྡོང"
"3465	ལྕེན"	"3465	ལྕེན"
"1544	ཏེང"	"1544	ཏེང"
"3297	ལྟིའ"	"3297	ལྟིའ"
"70	ཀྲ"	"70	ཀྲ"
"627	སྤྲོ"	"627	སྤྲོ"
"989	བསྐྱུ"	"989	བསྐྱུ"
"2239	ཕུར"	"2239	ཕུར"
"2989	རྙེལ"	"2989	རྙེལ"
"67	ཕྱ"	"67	ཕྱ"
"845	དཀྱེ"	"845	དཀྱེ"
"1859	ཡིབ"	"1859	ཡིབ"
"3110	རྙོལ"	"3110	རྙོལ"
"320	ཁོ"	"320	ཁོ"
"2339	ཡིལ"	"2339	ཡིལ"
"1412	ཤུག"	"1412	ཤུག"
"642	གཤི"	"642	གཤི"
"185	བཀླ"	"185	བཀླ"
"1550	བེང"	"1550	བེང"
"1556	ཞེང"	"1556	ཞེང"
"1161	མན"	"1161	མན"
"2669	རྦིད"	"2669	རྦིད"
"849	དམྱེ"	"849	དམྱེ"
"1485	ཐིང"	"1485	ཐིང"
"1239	ངའ"	"1239	ངའ"
"2414	ཏོལ"	"2414	ཏོལ"
"2431	རོལ"	"2431	རོལ"
"272	ཕུ"	"272	ཕུ"
"1537	ཁེང"	"1537	ཁེང"
"1839	ངིབ"	"1839	ངིབ"
"1401	མུག"	"1401	མུག"
"697	དངོ"	"697	དངོ"
"2521	ལེས"	"2521	ལེས"
"182	བཀྲ"	"182	བཀྲ"
"3393	ལྒུའ"	"3393	ལྒུའ"
"2764	རྣུག"	"2764	རྣུག"
"1983	སིམ"	"1983	སིམ"
"3271	ལྷིན"	"3271	ལྷིན"
"2624	རྫལ"	"2624	རྫལ"
"1631	ཆུད"	"1631	ཆུད"
"2465	ཨིས"	"2465	ཨིས"
"2969	རྦེའ"	"2969	རྦེའ"
"1122	ཆད"	"1122	ཆད"
"2376	ཀེལ"	"2376	ཀེལ"
"527	བྲུ"	"527	བྲུ"
"2593	རྒན"	"2593	རྒན"
"836	དགྱུ"	"836	དགྱུ"
"3155	ལྟད"	"3155	ལྟད"
"1130	ཕད"	"1130	ཕད"
"721	བཀེ"	"721	བཀེ"
"2950	རྒེམ"	"2950	རྒེམ"
"2922	རྨེད"	"2922	རྨེད"
"3422	ལྐུས"	"3422	ལྐུས"
"2908	རྣེང"	"2908	རྣེང"
"1862	ཤིབ"	"1862	ཤིབ"
"2075	ཨོམ"	"2075	ཨོམ"
"2864	རྫུར"	"2864	རྫུར"
"1921	ལེབ"	"1921	ལེབ"
"2554	ཧོས"	"2554	ཧོས"
"1457	ནོག"	"1457	ནོག"
"273	བུ"	"273	བུ"
"31	རྒ"	"31	རྒ"
"2526	ཀོས"	"2526	ཀོས"
"188	བསླ"	"188	བསླ"
"157	འཕ"	"157	འཕ"
"586	རྒྱོ"	"586	རྒྱོ"
"458	སྐེ"	"458	སྐེ"
"2057	ནོམ"	"2057	ནོམ"
"3436	ལྗེག"	"3436	ལྗེག"
"2242	ཙུར"	"2242	ཙུར"
"1022	འགྱི"	"1022	འགྱི"
"90	ཉྭ"	"90	ཉྭ"
"1309	ཕལ"	"1309	ཕལ"
"457	སྩུ"	"457	སྩུ"
"222	འཕྱ"	"222	འཕྱ"
"2467	ཁུས"	"2467	ཁུས"
"1136	ཝད"	"1136	ཝད"
"2572	རྙང"	"2572	རྙང"
"226	འདྲ"	"226	འདྲ"
"2049	ངོམ"	"2049	ངོམ"
"345	ཤོ"	"345	ཤོ"
"1247	ནའ"	"1247	ནའ"
"1387	ཁུག"	"1387	ཁུག"
"2284	ཧེར"	"2284	ཧེར"
"2869	རྙུལ"	"2869	རྙུལ"
"648	གནུ"	"648	གནུ"
"1876	དུབ"	"1876	དུབ"
"377	རྙེ"	"377	རྙེ"
"2652	རྗིང"	"2652	རྗིང"
"248	ཝི"	"248	ཝི"
"2707	རྩིམ"	"2707	རྩིམ"
"3472	ལྐེབ"	"3472	ལྐེབ"
"3145	ལྟང"	"3145	ལྟང"
"736	བཙོ"	"736	བཙོ"
"762	མཛུ"	"762	མཛུ"
"412	ལྟུ"	"412	ལྟུ"
"1538	གེང"	"1538	གེང"
"3402	ལྐུར"	"3402	ལྐུར"
"2139	གེའ"	"2139	གེའ"
"386	རྒོ"	"386	རྒོ"
"1177	ཁབ"	"1177	ཁབ"
"2672	རྫིད"	"2672	རྫིད"
"1181	ཆབ"	"1181	ཆབ"
1000    བརྒྱོ	1000    བརྒྱོ
"39	རྨ"	"39	རྨ"
"488	ཁྱུ"	"488	ཁྱུ"
"812	འབེ"	"812	འབེ"
"2382	ཇེལ"	"2382	ཇེལ"
"1540	ཅེང"	"1540	ཅེང"
"2946	རྨེབ"	"2946	རྨེབ"
"2277	ཟེར"	"2277	ཟེར"
"1915	ཝེབ"	"1915	ཝེབ"
"1304	ཏལ"	"1304	ཏལ"
"2336	ཞིལ"	"2336	ཞིལ"
"3234	ལྔིག"	"3234	ལྔིག"
"2956	རྣེམ"	"2956	རྣེམ"
"2450	བིས"	"2450	བིས"
"2205	ཐིར"	"2205	ཐིར"
"2619	རྡལ"	"2619	རྡལ"
"932	བསྙེ"	"932	བསྙེ"
"1059	གག"	"1059	གག"
"1801	ལེན"	"1801	ལེན"
"30	རྐ"	"30	རྐ"
"3199	ལྤའ"	"3199	ལྤའ"
"2790	རྨུང"	"2790	རྨུང"
"2042	ཤེམ"	"2042	ཤེམ"
"197	བསྣ"	"197	བསྣ"
"2142	ཆེའ"	"2142	ཆེའ"
"2271	མེར"	"2271	མེར"
"3080	རྩོམ"	"3080	རྩོམ"
"3105	རྫོར"	"3105	རྫོར"
"1499	ཡིང"	"1499	ཡིང"
"1508	གུང"	"1508	གུང"
"2739	རྡིལ"	"2739	རྡིལ"
"1974	ཛིམ"	"1974	ཛིམ"
"2553	སོས"	"2553	སོས"
"704	བཏི"	"704	བཏི"
"522	ཏྲུ"	"522	ཏྲུ"
"3325	ལྕིས"	"3325	ལྕིས"
"3150	ལྐད"	"3150	ལྐད"
"625	སྒྲོ"	"625	སྒྲོ"
"2797	རྙུད"	"2797	རྙུད"
"1405	ཝུག"	"1405	ཝུག"
"3416	ལྗུལ"	"3416	ལྗུལ"
"2079	ངིའ"	"2079	ངིའ"
"1646	ཞུད"	"1646	ཞུད"
"1588	འོང"	"1588	འོང"
"312	ཡེ"	"312	ཡེ"
"886	བརྒེ"	"886	བརྒེ"
"631	སྣྲེ"	"631	སྣྲེ"
"2392	ཙེལ"	"2392	ཙེལ"
"497	པྱེ"	"497	པྱེ"
"3315	ལྕིལ"	"3315	ལྕིལ"
"2685	རྐིབ"	"2685	རྐིབ"
"1300	ཅལ"	"1300	ཅལ"
"2340	རིལ"	"2340	རིལ"
"2173	ཉོའ"	"2173	ཉོའ"
"3467	ལྟེན"	"3467	ལྟེན"
"390	རྟོ"	"390	རྟོ"
"2844	རྗུའ"	"2844	རྗུའ"
"748	མདི"	"748	མདི"
"2738	རྟིལ"	"2738	རྟིལ"
"1575	ཐོང"	"1575	ཐོང"
"556	རླི"	"556	རླི"
"1008	མགྲི"	"1008	མགྲི"
"1716	ཀིན"	"1716	ཀིན"
"3316	ལྗིལ"	"3316	ལྗིལ"
"547	པྲོ"	"547	པྲོ"
"3113	རྣོལ"	"3113	རྣོལ"
"1965	ཐིམ"	"1965	ཐིམ"
"1901	ཆེབ"	"1901	ཆེབ"
"2637	རྐིག"	"2637	རྐིག"
"468	ལྕེ"	"468	ལྕེ"
"1091	ཅང"	"1091	ཅང"
"2268	པེར"	"2268	པེར"
"1202	ཤབ"	"1202	ཤབ"
"3166	ལྡན"	"3166	ལྡན"
"1988	གུམ"	"1988	གུམ"
"1431	མེག"	"1431	མེག"
"2874	རྨུལ"	"2874	རྨུལ"
"1685	ཨེད"	"1685	ཨེད"
"68	བྱ"	"68	བྱ"
"3255	ལྕིད"	"3255	ལྕིད"
"2783	རྔུང"	"2783	རྔུང"
"2409	ངོལ"	"2409	ངོལ"
"745	མཆི"	"745	མཆི"
"1562	ཤེང"	"1562	ཤེང"
"1962	ཇིམ"	"1962	ཇིམ"
"289	ཀེ"	"289	ཀེ"
"2444	ཏིས"	"2444	ཏིས"
"570	ཀློ"	"570	ཀློ"
"1394	ཏུག"	"1394	ཏུག"
"1321	ལལ"	"1321	ལལ"
"2082	ཇིའ"	"2082	ཇིའ"
"3095	རྒོར"	"3095	རྒོར"
"1126	ཐད"	"1126	ཐད"
"518	ཧྲི"	"518	ཧྲི"
"3302	ལྐིར"	"3302	ལྐིར"
"831	དགྲི"	"831	དགྲི"
"1497	ཟིང"	"1497	ཟིང"
"1661	ཆེད"	"1661	ཆེད"
"1708	འོད"	"1708	འོད"
"498	ཕྱེ"	"498	ཕྱེ"
"2445	ཐིས"	"2445	ཐིས"
"2032	ཙེམ"	"2032	ཙེམ"
"2540	བོས"	"2540	བོས"
"372	རྫུ"	"372	རྫུ"
"2366	ཞུལ"	"2366	ཞུལ"
"3351	ལྷུང"	"3351	ལྷུང"
"40	རྩ"	"40	རྩ"
"3481	ལྷེབ"	"3481	ལྷེབ"
"962	བཀྲོ"	"962	བཀྲོ"
"696	དགོ"	"696	དགོ"
"3186	ལྗམ"	"3186	ལྗམ"
"3317	ལྟིལ"	"3317	ལྟིལ"
"2365	ཝུལ"	"2365	ཝུལ"
"822	འབོ"	"822	འབོ"
"3139	ལྷག"	"3139	ལྷག"
"155	འཐ"	"155	འཐ"
"554	བླི"	"554	བླི"
"2451	མིས"	"2451	མིས"
"3240	ལྦིག"	"3240	ལྦིག"
"2531	ཆོས"	"2531	ཆོས"
"1489	ཕིང"	"1489	ཕིང"
"1788	པེན"	"1788	པེན"
"937	བསྐོ"	"937	བསྐོ"
"970	བཟླུ"	"970	བཟླུ"
"1711	ལོད"	"1711	ལོད"
"1651	ལུད"	"1651	ལུད"
"819	འཐོ"	"819	འཐོ"
"1483	ཉིང"	"1483	ཉིང"
"3216	ལྗལ"	"3216	ལྗལ"
"3362	ལྐུན"	"3362	ལྐུན"
"974	བཟླེ"	"974	བཟླེ"
"913	བསྐི"	"913	བསྐི"
"447	སྩི"	"447	སྩི"
"2564	རྦག"	"2564	རྦག"
"2148	ནེའ"	"2148	ནེའ"
"2352	ཇུལ"	"2352	ཇུལ"
"54	སྔ"	"54	སྔ"
"1765	ཝུན"	"1765	ཝུན"
"419	ལྔེ"	"419	ལྔེ"
"2508	པེས"	"2508	པེས"
"7	ཉ"	"7	ཉ"
"1440	རེག"	"1440	རེག"
"1121	ཅད"	"1121	ཅད"
"1423	ཉེག"	"1423	ཉེག"
"898	བརྗོ"	"898	བརྗོ"
"1636	དུད"	"1636	དུད"
"92	ཚྭ"	"92	ཚྭ"
"1603	ཉིད"	"1603	ཉིད"
"3252	ལྐིད"	"3252	ལྐིད"
"3334	ལྔུག"	"3334	ལྔུག"
"1469	ཡོག"	"1469	ཡོག"
"3288	ལྡིམ"	"3288	ལྡིམ"
"795	འཁུ"	"795	འཁུ"
"967	བརླི"	"967	བརླི"
"1463	ཚོག"	"1463	ཚོག"
"186	བགླ"	"186	བགླ"
"154	འཇ"	"154	འཇ"
"703	བཅི"	"703	བཅི"
"128	དབ"	"128	དབ"
"2281	ལེར"	"2281	ལེར"
"1521	མུང"	"1521	མུང"
"1875	ཐུབ"	"1875	ཐུབ"
"1502	ཤིང"	"1502	ཤིང"
"466	སྦེ"	"466	སྦེ"
"473	སྟོ"	"473	སྟོ"
"1383	སིག"	"1383	སིག"
"843	དབྲུ"	"843	དབྲུ"
"1607	ནིད"	"1607	ནིད"
"918	བསྡི"	"918	བསྡི"
"3378	ལྡུབ"	"3378	ལྡུབ"
"1918	འེབ"	"1918	འེབ"
"2167	ཁོའ"	"2167	ཁོའ"
"2794	རྒུད"	"2794	རྒུད"
"3353	ལྒུད"	"3353	ལྒུད"
"770	མདེ"	"770	མདེ"
"1043	འཁྲེ"	"1043	འཁྲེ"
"3246	ལྗིང"	"3246	ལྗིང"
"1380	རིག"	"1380	རིག"
"2278	འེར"	"2278	འེར"
"2962	རྒེའ"	"2962	རྒེའ"
"115	གཏ"	"115	གཏ"
"2945	རྦེབ"	"2945	རྦེབ"
"2077	ཁིའ"	"2077	ཁིའ"
"2296	དོར"	"2296	དོར"
"1970	བིམ"	"1970	བིམ"
"1754	ཏུན"	"1754	ཏུན"
"1878	པུབ"	"1878	པུབ"
"2775	རྡུང"	"2775	རྡུང"
"2265	ཐེར"	"2265	ཐེར"
"2585	རྟད"	"2585	རྟད"
"2537	ནོས"	"2537	ནོས"
"1795	ཝེན"	"1795	ཝེན"
"3151	ལྒད"	"3151	ལྒད"
"260	ཁུ"	"260	ཁུ"
"3376	ལྗུབ"	"3376	ལྗུབ"
"1233	སམ"	"1233	སམ"
"1421	ཆེག"	"1421	ཆེག"
